file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_PC0137_0249_1376137_to_1379625,ཨེ་ནས་ད་ལྟ་དེར་ཨ་ཅག་དེས་སྐད་ཆ་བཤད་ཚར་ནས། ཨ་ཅག་དེས་ཆུ་ཚོད་གཉིས་སེ་བྱས་ནས་ཨེ་ནས།  ,e nas da lta der a cag des skad cha bshad tshar nas/_a cag des chu tshod gnyis se byas nas e nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0137_0249_1376137_to_1379625.wav,STT_PC,3,80,3.488,wav16k/STT_PC0137_0249_1376137_to_1379625.wav,ཨེ་ནས་ནས་ད་ལྟ་འདི་ཨ་ཅག་འདེ་སྐད་ཆ་བཤད་ཚར་ནས། ཨ་ཅག་དེ་ཆུ་ཚོད་གཉིས་ཙི་རྗས་ནས་ཨེ་ནས།
STT_MV0510_0113_685910_to_687929,ག་རེ་ཐིགས་རས་ཉིལ་ཉིལ་ ,ga re thigs ras nyil nyil _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0510_0113_685910_to_687929.wav,STT_MV,3,22,2.019,wav16k/STT_MV0510_0113_685910_to_687929.wav,ག་རེའི་འགྲིག་གི་རེད་ཉེན་ཉེས།
STT_MV0510_0115_693782_to_699211,རེད་བ་ཅོ། ད་ག་རེད་གདའ། ཧ་ཧ་ཧ། གངས་རྒྱན། གངས་རྒྱན་ཟ་མ་རེད་གདའ།  ,red ba co/_da ga red gda'/_ha ha ha/_gangs rgyan/_gangs rgyan za ma red gda'/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0510_0115_693782_to_699211.wav,STT_MV,3,63,5.429,wav16k/STT_MV0510_0115_693782_to_699211.wav,རེད་པ་ཇོ། ད་ག་རེད་ད་ཨ་ཅག ཧ་ཧཧ་ཧ གང་ེ། གང་རྒྱལ་བསམ་མ་ད་ད།
STT_MV0510_0116_699211_to_703090,ཁང་ཅུའུ་ཟ། གངས་རྒྱན། འང་ད་གཡུགས་ཞོག ,khang cu'u za/_gangs rgyan/_'ang da g.yugs zhog_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0510_0116_699211_to_703090.wav,STT_MV,3,36,3.879,wav16k/STT_MV0510_0116_699211_to_703090.wav,ཁང་ཅུར་ཟེ། གང་རྒྱན། འོ་ད་གཡུག་ཤོག
STT_MV0510_0118_709604_to_715243,ངས་ད་གིན་ནས་ཟ་རེད་བེ། འོ། གལ་སྲིད་དངོས་གནས་གོང་མཐོ་དྲགས་ཤག་བསམ་ན་ཡ་སྤོ་འདས་ཉོས་ཉི་ཤུ་ཐམ་པ་རེད་ཨེ་ནས།  ,ngas da gin nas za red be/_'o/_gal srid dngos gnas gong mtho drags shag bsam na ya spo 'das nyos nyi shu tham pa red e nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0510_0118_709604_to_715243.wav,STT_MV,3,102,5.639,wav16k/STT_MV0510_0118_709604_to_715243.wav,ངས་ད་གིན་ནས་ཟ་རེད་པ། གལ་སྲིད་དངོས་གནས་གོང་ཐུག་ད་ཆག་བསམ་ན། ཡ་སྤོ་ཕ་གི་ཉོས། ཉི་ཤུ་ཐམ་པ་རེད་ཨེ་ནས།
STT_MV0838_0267_1761440_to_1769086,འདུག་སེ་བྱས། རང་གིས་ཆིང་ཡན་གྲོང་རྡལ་ལ་ཕྱིན་བྱས་ཝང་ཧའ་ཐོག་ཁང་གི་རྨོར་ཏོ་དེ་བཙལ་བྱས་སྐད་ཆ་ཡག་པོ་དྲིས།  ,'dug se byas/_rang gis ching yan grong rdal la phyin byas wang ha' thog khang gi rmor to de btsal byas skad cha yag po dris/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0838_0267_1761440_to_1769086.wav,STT_MV,3,101,7.646,wav16k/STT_MV0838_0267_1761440_to_1769086.wav,འདུག་སེ་གྱིས། རང་གིས་ཆིང་ཡུན་གྲོང་བརྡལ་ལ་ཕྱིན་བྱས། ཝང་ཧའ་མཐོ་ཁང་གི་རྨོར་ཏོ་ཞིག་བཙལ་བྱས་ སྐད་ཆ་ཡག་པོ་དྲིས།
STT_MV0510_0119_715243_to_722382,འོ་རྦད་བུ་མོ་ནི་རུ་ཤོག་ཅིག་སྒོར་མོ་ཉི་ཤུ་ནང་རྦད་ནི་རུ་གཟིགས་ཅིག་ཕུ་ཐུང་ནི་ཡོད་རྦད་ཆ་ཚང་ཡོད་རྦད་ནི་རུ་གཟིགས་དང་ནི་རུ། ཨོ་ཙི་ད་སྤོ་ལགས་ཀུ་ཅི།  ,'o rbad bu mo ni ru shog cig sgor mo nyi shu nang rbad ni ru gzigs cig phu thung ni yod rbad cha tshang yod rbad ni ru gzigs dang ni ru/_o tsi da spo lags ku ci/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0510_0119_715243_to_722382.wav,STT_MV,3,141,7.139,wav16k/STT_MV0510_0119_715243_to_722382.wav,འོ་རྦད་དེ་བུ་མོ་ནུར་ར་ཤོག་གཅིག སྒོར་མོ་ཉི་ཤུ་ནང་རྦེ་ནོར་ྩི་ཅིག ཕོ་ཐུང་ནི་ཡོད་པ་ཆ་ཚང་ཡོད་པ་ནུར་ཟག་ད། རྤོ་ལགས། ་ཐུང་ཅིག
STT_MV0510_0127_755162_to_762385,འདས་བྷ་བྷ་ཡེ། བྷ་བྷ་ཡེ། ཧ་ཧ་ཧ་ཧ། ཨོ་ཙི་ ,'das b+ha b+ha ye/_b+ha b+ha ye/_ha ha ha ha/_o tsi _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0510_0127_755162_to_762385.wav,STT_MV,3,40,7.223,wav16k/STT_MV0510_0127_755162_to_762385.wav,འདིར།  བྷ་བྷཡེ། བྷཡེ་བྷཡེ། ཧ་ཧ་ཧ ཨ་ཙི།
STT_MV0510_0134_801458_to_803689,ཨོ་ཙི། ད་རྒྱུགས།  ,o tsi/_da rgyugs/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0510_0134_801458_to_803689.wav,STT_MV,3,18,2.231,wav16k/STT_MV0510_0134_801458_to_803689.wav,ཨ་ཙི། ད་ྱོབ།
STT_MV0511_0000_0_to_9999,འོ་ཙི་འེ་ག་རེ་བྱས་པ་རེད། ད་ཡང་ག་རེ་བྱས་པ་ཡིན་ནམ་དཀོན་མཆོག ,'o tsi 'e ga re byas pa red/_da yang ga re byas pa yin nam dkon mchog_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0511_0000_0_to_9999.wav,STT_MV,3,58,9.999,wav16k/STT_MV0511_0000_0_to_9999.wav,བུ་ཙོ་ོ་དེ་ག་རེ་བྱས་བསད་ཡང་།ད་ཡང་ག་རེ་བྱས་པ་ཡིན་ན་དཀོན་མཆོག
